,ep,mean_score_last25_ep,epsilon,ep_time,all_time_highest
218,5475,13.48,0.01,0.07972233341164785,47
219,5500,11.28,0.01,0.07999518160386519,47
220,5525,10.56,0.01,0.08069948740134951,47
221,5550,12.24,0.01,0.08121357251931956,47
222,5575,10.92,0.01,0.08180953380772886,47
223,5600,7.4,0.01,0.08235180863312312,47
224,5625,8.12,0.01,0.08288533528645833,47
225,5650,11.04,0.01,0.08312805926905269,47
226,5675,13.52,0.01,0.08351335693561034,50
227,5700,9.88,0.01,0.08372924988729911,50
228,5725,12.76,0.01,0.08408286985872093,50
229,5750,9.56,0.01,0.08429227642391039,50
230,5775,13.68,0.01,0.08450728453599013,50
231,5800,8.4,0.01,0.08493501617990691,50
232,5825,12.4,0.01,0.08525631446183496,50
233,5850,7.84,0.01,0.08544360988160483,50
234,5875,7.88,0.01,0.08574535832506545,50
235,5900,14.52,0.01,0.086030083106736,50
236,5925,8.04,0.01,0.08604676258714893,50
237,5950,12.6,0.01,0.08625236138576219,50
238,5975,12.08,0.01,0.08658899726229233,50
239,6000,10.12,0.01,0.08676626173655191,50
240,6025,21.2,0.01,0.0875144679120962,50
241,6050,11.56,0.01,0.08781619611850455,50
242,6075,14.56,0.01,0.08833223464557663,50
243,6100,9.96,0.01,0.08862008770958323,50
244,6125,16.76,0.01,0.08901457447908362,50
245,6150,11.88,0.01,0.08918698632620214,50
246,6175,8.4,0.01,0.08946703072984209,50
247,6200,12.96,0.01,0.08967918680560204,50
248,6225,11.28,0.01,0.08972847831297112,50
249,6250,12.4,0.01,0.08988158405303955,50
250,6275,14.44,0.01,0.0901372916764947,50
251,6300,7.16,0.01,0.09034764747771006,50
252,6325,2.84,0.01,0.09053638092613975,50
253,6350,6.44,0.01,0.09060892210231991,50
254,6375,7.68,0.01,0.0910265599045099,50
255,6400,8.64,0.01,0.0918267959728837,50
256,6425,12.28,0.01,0.09224286431932263,50
257,6450,14.56,0.01,0.09293113989423411,50
258,6475,15.84,0.01,0.09338080564520994,50
259,6500,12.16,0.01,0.09364573335647583,50
260,6525,14.36,0.01,0.09411421929282704,50
261,6550,11.24,0.01,0.09431369821533903,50
262,6575,13.32,0.01,0.09453327809903105,50
263,6600,14.08,0.01,0.09474768201510111,50
264,6625,19.36,0.01,0.09510817322641049,50
265,6650,15.08,0.01,0.09543618808115335,50
266,6675,14.28,0.01,0.09568838030211488,50
267,6700,18.48,0.01,0.09610170599239976,50
268,6725,13.56,0.01,0.09623650692652592,50
269,6750,12.84,0.01,0.09682977697584365,50
270,6775,10.6,0.01,0.09700415773145388,50
271,6800,17.8,0.01,0.09749065546428456,50
272,6825,11.12,0.01,0.0976475351634043,50
273,6850,8.6,0.01,0.09783337311152994,50
274,6875,10.76,0.01,0.09837991430109197,50
275,6900,9.8,0.01,0.09873967184536699,50
276,6925,7.6,0.01,0.0994021983783598,50
277,6950,10.68,0.01,0.10030474439799357,50
278,6975,9.12,0.01,0.1003824231274239,50
279,7000,9.32,0.01,0.10053802677563259,50
280,7025,13.16,0.01,0.10071630179245701,50
281,7050,12.52,0.01,0.10077533532541694,50
282,7075,15.48,0.01,0.10111238139256994,50
283,7100,12.32,0.01,0.1012544555059621,50
284,7125,12.28,0.01,0.1014429141596744,50
285,7150,16.48,0.01,0.10174774303302898,50
286,7175,14.6,0.01,0.10196556609682089,50
287,7200,13.56,0.01,0.10225129836135441,50
288,7225,9.28,0.01,0.10247740428752965,50
289,7250,8.84,0.01,0.10248593971647066,50
290,7275,12.44,0.01,0.10269719864494613,50
291,7300,16.96,0.01,0.10305883871365899,50
292,7325,15.32,0.01,0.10327651639033503,50
293,7350,11.0,0.01,0.10347092709573759,50
294,7375,12.48,0.01,0.10405207249269648,50
295,7400,7.12,0.01,0.10449901323060731,50
296,7425,1.88,0.01,0.10424242973327637,50
297,7450,6.6,0.01,0.1044643186082776,50
298,7475,8.88,0.01,0.10504142681491814,50
299,7500,13.56,0.01,0.10542343651453653,50
300,7525,11.16,0.01,0.10562882993704457,50
301,7550,20.72,0.01,0.10595770930612324,50
302,7575,19.68,0.01,0.10622562269959906,50
303,7600,15.2,0.01,0.10640942582958623,50
304,7625,11.52,0.01,0.10655416773186355,50
305,7650,18.56,0.01,0.10688811352050383,50
306,7675,12.8,0.01,0.10733086986728134,50
307,7700,12.76,0.01,0.10751850617396368,50
308,7725,17.72,0.01,0.1077648751095275,50
